fpl_id,fpl_name,understat_name,fte_name
1,Arsenal,Arsenal,Arsenal
2,Aston Villa,Aston Villa,Aston Villa
3,Brentford,Brentford,Brentford
4,Brighton,Brighton,Brighton and Hove Albion
5,Burnley,Burnley,Burnley
6,Chelsea,Chelsea,Chelsea
7,Crystal Palace,Crystal Palace,Crystal Palace
8,Everton,Everton,Everton
10,Leeds,Leeds,Leeds United
9,Leicester,Leicester,Leicester City
11,Liverpool,Liverpool,Liverpool
12,Man City,Manchester City,Manchester City
13,Man Utd,Manchester United,Manchester United
14,Newcastle,Newcastle United,Newcastle
15,Norwich,Norwich,Norwich City
16,Southampton,Southampton,Southampton
17,Spurs,Tottenham,Tottenham Hotspur
18,Watford,Watford,Watford
19,West Ham,West Ham,West Ham United
20,Wolves,Wolverhampton Wanderers,Wolverhampton
